tag,patterns,responses
AEA-IRC,What is AEA-IRC?,AEA-IRC stands for Aklatang Emilio Aguinaldo-Information Resource Center.
AEA-IRC,What is the meaning of AEA-IRC?,AEA-IRC stands for Aklatang Emilio Aguinaldo-Information Resource Center.
AVCAS,What is AVCAS?,AVCAS stands for Assistant Vice Chancellor for Academic Services.
AVCAS,What is the meaning of AVCAS?,AVCAS stands for Assistant Vice Chancellor for Academic Services.
BFMO,What is BFMO?,BFMO stands for Buildings and Facilities Maintenance Office.
BFMO,What is the meaning of BFMO?,BFMO stands for Buildings and Facilities Maintenance Office.
BUTIL,What is BUTIL?,BUTIL stands for Basic University Training in Lasallian Leadership.
BUTIL,What is the meaning of BUTIL?,BUTIL stands for Basic University Training in Lasallian Leadership.
CAGA,What is CAGA?,CAGA stands for Campus Advisers' 2019 General Assembly.
CAGA,What is the meaning CAGA?,CAGA stands for Campus Advisers' 2019 General Assembly.
CBAA,What is CBAA?,CBAA stands for College of Business Administration and Accountancy.
CBAA,What is the meaning of CBAA?,CBAA stands for College of Business Administration and Accountancy.
CCJE,What is CCJE?,CCJE stands for College of Criminal Justice Education.
CCJE,What is the meaning of CCJE?,CCJE stands for College of Criminal Justice Education.
CEAT,What is CEAT?,"CEAT stands for College of Engineering, Architecture and Technology."
CEAT,What is the meaning of CEAT?,"CEAT stands for College of Engineering, Architecture and Technology."
CHED,What is CHED?,CHED stands for Commission on Higher Education.
CHED,What is the meaning of CHED?,CHED stands for Commission on Higher Education.
CLAC,What is CLAC?,CLAC stands for College of Liberal Arts and Communication.
CLAC,What is the meaning of CLAC?,CLAC stands for College of Liberal Arts and Communication.
CLAYGO,What is CLAYGO?,CLAYGO stands for Clean-as-you-go.
CLAYGO,What is the meaning of CLAYGO?,CLAYGO stands for Clean-as-you-go.
CMO,What is CMO?,CMO stands for Campus Ministry Office.
CMO,What is the meaning of CMO?,CMO stands for Campus Ministry Office.
COEd,What is COEd?,COEd stands for College of Education.
COEd,What is the meaning of COEd?,COEd stands for College of Education.
COR,What is COR?,COR stands for Certificate of Registration.
COR,What is the meaning of COR?,COR stands for Certificate of Registration.
CSA,What is CSA?,CSA stands for Center for Student Admission.
CSA,What is the meaning of CSA?,CSA stands for Center for Student Admission.
CSCS,What is CSCS?,CSCS stands for College of Science and Computer Studies.
CSCS,What is the meaning of CSCS?,CSCS stands for College of Science and Computer Studies.
CSG,What is CSG?,CSG stands for College Student Government.
CSG,What is the meaning of CSG?,CSG stands for College Student Government.
CSO,What is CSO?,CSO stands for Council of Student Organizations.
CSO,What is the meaning of CSO?,CSO stands for Council of Student Organizations.
CTHM,What is CTHM?,CTHM stands for College of Tourism and Hospitality Management.
CTHM,What is the meaning of CTHM?,CTHM stands for College of Tourism and Hospitality Management.
CWTS,What is CWTS?,CWTS stands for Civic Welfare Training Service.
CWTS,What is the meaning of CWTS?,CWTS stands for Civic Welfare Training Service.
DLSU-D,What is DLSU-D?,DLSU-D stands for De La Salle University-Dasmarinas.
DLSU-D,What is the meaning of DLSU-D?,DLSU-D stands for De La Salle University-Dasmarinas.
EBPSP,What is EBPSP?,EBPSP stands for Enhanced Brother President Scholarship Program.
EBPSP,What is the meaning of EBPSP?,EBPSP stands for Enhanced Brother President Scholarship Program.
ERMaC,What is ERMaC?,ERMaC stands for Environmental Resource and Management Center.
ERMaC,What is the meaning of ERMaC?,ERMaC stands for Environmental Resource and Management Center.
FAG,What is FAG?,FAG stands for Financial Aid Grant.
FAG,What is the meaning of FAG?,FAG stands for Financial Aid Grant.
FAST,What is FAST?,FAST stands for Financial Aid for Student Trainee.
FAST,What is the meaning of FAST?,FAST stands for Financial Aid for Student Trainee.
GMH,What is GMH?,GMH stands for Gregorio Montoya Hall.
GMH,What is the meaning of GMH?,GMH stands for Gregorio Montoya Hall.
GPA,What is GPA?,GPA stands for Grade Point Average.
GPA,What is the meaning of GPA?,GPA stands for Grade Point Average.
GSO,What is GSO?,GSO stands for General Services Office.
GSO,What is the meaning of GSO?,GSO stands for General Services Office.
HF,What is HF?,HF stands for Heraldo Filipino.
HF,What is the meaning of HF?,HF stands for Heraldo Filipino.
